distance, atc_change, bell
5300.00,275, 1
5263.52,274, 0
5227.17,273, 0
5190.95,272, 0
5154.86,271, 0
5118.91,270, 0
5083.08,269, 0
5047.39,268, 0
5011.82,267, 0
4976.38,266, 0
4941.08,265, 0
4905.90,264, 0
4870.85,263, 0
4835.93,262, 0
4801.14,261, 0
4766.49,260, 0
4731.96,259, 0
4697.56,258, 0
4663.29,257, 0
4629.15,256, 0
4595.14,255, 0
4561.26,254, 0
4527.51,253, 0
4493.89,252, 0
4460.40,251, 0
4427.03,250, 0
4393.80,249, 0
4360.70,248, 0
4327.72,247, 0
4294.88,246, 0
4262.16,245, 0
4229.58,244, 0
4197.12,243, 0
4164.79,242, 0
4132.59,241, 0
4100.52,240, 0
4068.58,239, 0
4036.77,238, 0
4005.09,237, 0
3973.53,236, 0
3942.11,235, 0
3910.81,234, 0
3879.64,233, 0
3848.60,232, 0
3817.69,231, 0
3786.91,230, 0
3756.26,230, 0
3725.74,230, 0
3695.34,230, 0
3665.08,230, 0
3634.94,230, 0
3604.93,230, 0
3575.05,230, 0
3545.30,230, 0
3515.68,230, 0
3486.19,230, 0
3456.82,230, 0
3427.59,230, 0
3398.48,230, 0
3369.50,230, 0
3340.65,230, 0
3311.93,230, 1
3283.33,229, 0
3254.87,228, 0
3226.53,226, 0
3198.32,225, 0
3170.24,223, 0
3142.29,222, 0
3114.47,220, 0
3086.77,218, 0
3059.20,217, 0
3031.76,215, 0
3004.45,214, 0
2977.27,212, 0
2950.22,211, 0
2923.30,209, 0
2896.50,208, 0
2869.84,206, 0
2843.30,205, 0
2816.89,203, 0
2790.61,202, 0
2764.46,200, 0
2738.43,199, 0
2712.53,197, 0
2686.76,196, 0
2661.12,194, 0
2635.61,193, 0
2610.23,191, 0
2584.97,190, 0
2559.84,189, 0
2534.84,187, 0
2509.97,186, 0
2485.23,184, 0
2460.61,183, 0
2436.12,182, 0
2411.77,180, 0
2387.53,179, 0
2363.43,178, 0
2339.45,176, 0
2315.60,175, 0
2291.88,174, 0
2268.29,172, 0
2244.83,171, 0
2221.50,170, 0
2198.29,170, 0
2175.21,170, 0
2152.26,170, 0
2129.44,170, 0
2106.74,170, 0
2084.18,170, 0
2061.74,170, 0
2039.43,170, 0
2017.25,170, 0
1995.20,170, 0
1973.28,170, 0
1951.48,170, 0
1929.81,170, 0
1908.27,170, 0
1886.86,170, 0
1865.57,170, 0
1844.42,170, 0
1823.39,170, 0
1802.49,170, 0
1781.72,170, 0
1761.07,170, 0
1740.56,170, 0
1720.17,170, 0
1699.91,170, 1
1679.78,168, 0
1659.78,166, 0
1639.90,165, 0
1620.16,163, 0
1600.54,161, 0
1581.05,160, 0
1561.69,158, 0
1542.46,156, 0
1523.35,155, 0
1504.37,153, 0
1485.53,151, 0
1466.81,150, 0
1448.22,148, 0
1429.76,147, 0
1411.43,145, 0
1393.22,144, 0
1375.15,142, 0
1357.20,141, 0
1339.38,139, 0
1321.69,138, 0
1304.13,136, 0
1286.69,135, 0
1269.38,133, 0
1252.20,132, 0
1235.15,130, 0
1218.23,129, 0
1201.43,127, 0
1184.76,126, 0
1168.22,124, 0
1151.81,123, 0
1135.53,122, 0
1119.37,120, 0
1103.34,119, 0
1087.44,118, 0
1071.67,116, 0
1056.02,115, 0
1040.51,114, 0
1025.12,112, 0
1009.85,111, 0
994.72,110, 0
979.71,108, 0
964.83,107, 0
950.08,106, 0
935.46,105, 0
920.96,103, 0
906.59,102, 0
892.35,101, 0
878.23,100, 0
864.24,99, 0
850.38,97, 0
836.65,96, 0
823.05,95, 0
809.57,94, 0
796.22,93, 0
782.99,92, 0
769.89,91, 0
756.92,89, 0
744.08,88, 0
731.36,87, 0
718.77,86, 0
706.31,85, 0
693.97,84, 0
681.76,83, 0
669.67,82, 0
657.71,81, 0
645.88,80, 0
634.18,79, 0
622.60,78, 0
611.15,77, 0
599.82,76, 0
588.62,75, 0
577.55,74, 0
566.60,73, 0
555.78,72, 0
545.08,71, 0
534.51,70, 0
524.07,70, 0
500.00,70.00, 1
490.00,69.00, 0
480.00,68.00, 0
470.00,67.00, 0
460.00,66.00, 0
450.00,64.90, 0
440.00,63.90, 0
430.00,62.80, 0
420.00,61.70, 0
410.00,60.60, 0
400.00,59.50, 0
390.00,58.30, 0
380.00,57.20, 0
370.00,56.00, 0
360.00,54.80, 0
350.00,53.50, 0
340.00,52.30, 0
330.00,51.00, 0
320.00,49.70, 0
310.00,48.30, 0
300.00,46.90, 0
290.00,45.50, 0
280.00,44.00, 0
270.00,42.50, 0
260.00,40.90, 0
250.00,39.30, 0
240.00,37.60, 0
230.00,35.80, 0
220.00,34.00, 0
210.00,32.00, 0
200.00,30.00, 0
